Date,Season,Competition,Stage,Home Team,Away Team,Home Goals,Away Goals,Neutral,Match Result,Home Team Country,Away Team Country,Home Team Region,Away Team Region,Cross Region Match,Venue Altitude (m),Away Team Altitude (m),Altitude Difference (m),Travel Distance (km),Climate Zone
2010-08-15,2010,CAF Champions League,Group Stage,Ismaily,Heartland,1,0,False,Home Win,Egypt,Nigeria,North Africa,West Africa,Yes,5,80,-75,3833.8,Arid
2010-08-15,2010,CAF Champions League,Group Stage,JS Kabylie,Al Ahly,1,0,False,Home Win,Algeria,Egypt,North Africa,North Africa,No,250,23,227,2570.0,Mediterranean
2010-08-27,2010,CAF Champions League,Group Stage,ES Setif,Dynamos,3,0,False,Home Win,Algeria,Zimbabwe,North Africa,Southern Africa,Yes,1096,1490,-394,6584.1,Semi-Arid
2010-08-28,2010,CAF Champions League,Group Stage,Esperance de Tunis,TP Mazembe,3,0,False,Home Win,Tunisia,DR Congo,North Africa,Central Africa,Yes,10,1250,-1240,5685.2,Mediterranean
2010-08-28,2010,CAF Champions League,Group Stage,Al Ahly,JS Kabylie,1,1,False,Draw,Egypt,Algeria,North Africa,North Africa,No,23,250,-227,2570.0,Arid
2010-08-29,2010,CAF Champions League,Group Stage,Heartland,Ismaily,2,1,False,Home Win,Nigeria,Egypt,West Africa,North Africa,Yes,80,5,75,3833.8,Tropical
2010-09-10,2010,CAF Champions League,Group Stage,JS Kabylie,Ismaily,1,0,False,Home Win,Algeria,Egypt,North Africa,North Africa,No,250,5,245,2637.0,Mediterranean
2010-09-11,2010,CAF Champions League,Group Stage,Esperance de Tunis,ES Setif,2,2,False,Draw,Tunisia,Algeria,North Africa,North Africa,No,10,1096,-1086,431.9,Mediterranean
2010-09-12,2010,CAF Champions League,Group Stage,TP Mazembe,Dynamos,2,1,False,Home Win,DR Congo,Zimbabwe,Central Africa,Southern Africa,Yes,1250,1490,-240,786.0,Tropical
2010-09-12,2010,CAF Champions League,Group Stage,Al Ahly,Heartland,2,1,False,Home Win,Egypt,Nigeria,North Africa,West Africa,Yes,23,80,-57,3721.1,Arid
2010-09-18,2010,CAF Champions League,Group Stage,ES Setif,TP Mazembe,0,0,False,Draw,Algeria,DR Congo,North Africa,Central Africa,Yes,1096,1250,-154,5802.4,Semi-Arid
2010-09-18,2010,CAF Champions League,Group Stage,Dynamos,Esperance de Tunis,0,1,False,Away Win,Zimbabwe,Tunisia,Southern Africa,North Africa,Yes,1490,10,1480,6458.0,Tropical
2010-09-19,2010,CAF Champions League,Group Stage,Heartland,JS Kabylie,1,1,False,Draw,Nigeria,Algeria,West Africa,North Africa,Yes,80,250,-170,3469.0,Tropical
2010-09-19,2010,CAF Champions League,Group Stage,Ismaily,Al Ahly,4,2,False,Home Win,Egypt,Egypt,North Africa,North Africa,No,5,23,-18,114.6,Arid
2010-10-03,2010,CAF Champions League,Semi-final,TP Mazembe,JS Kabylie,3,1,False,Home Win,DR Congo,Algeria,Central Africa,North Africa,Yes,1250,250,1000,5885.4,Tropical
2010-10-03,2010,CAF Champions League,Semi-final,Al Ahly,Esperance de Tunis,2,1,False,Home Win,Egypt,Tunisia,North Africa,North Africa,No,23,10,13,2088.3,Arid
2010-10-17,2010,CAF Champions League,Semi-final,JS Kabylie,TP Mazembe,0,0,False,Draw,Algeria,DR Congo,North Africa,Central Africa,Yes,250,1250,-1000,5885.4,Mediterranean
2010-10-17,2010,CAF Champions League,Semi-final,Esperance de Tunis,Al Ahly,1,0,False,Home Win,Tunisia,Egypt,North Africa,North Africa,No,10,23,-13,2088.3,Mediterranean
2010-10-31,2010,CAF Champions League,Final,TP Mazembe,Esperance de Tunis,5,0,False,Home Win,DR Congo,Tunisia,Central Africa,North Africa,Yes,1250,10,1240,5685.2,Tropical
2010-11-13,2010,CAF Champions League,Final,Esperance de Tunis,TP Mazembe,1,1,False,Draw,Tunisia,DR Congo,North Africa,Central Africa,Yes,10,1250,-1240,5685.2,Mediterranean
2011-07-16,2011,CAF Champions League,Group Stage,Raja Casablanca,Cotonsport,0,0,False,Draw,Morocco,Cameroon,North Africa,Central Africa,Yes,56,358,-302,3507.7,Mediterranean
2011-07-16,2011,CAF Champions League,Group Stage,MC Alger,Esperance de Tunis,1,1,False,Draw,Algeria,Tunisia,North Africa,North Africa,No,424,10,414,631.8,Mediterranean
2011-07-17,2011,CAF Champions League,Group Stage,Enyimba,Al Hilal,2,2,False,Draw,Nigeria,Sudan,West Africa,East Africa,Yes,55,380,-325,2931.6,Tropical
2011-07-17,2011,CAF Champions League,Group Stage,Al Ahly,Wydad Casablanca,3,3,False,Draw,Egypt,Morocco,North Africa,North Africa,No,23,56,-33,3669.2,Arid
2011-07-29,2011,CAF Champions League,Group Stage,Al Hilal,Raja Casablanca,1,0,False,Home Win,Sudan,Morocco,East Africa,North Africa,Yes,380,56,324,4492.9,Arid
2011-07-30,2011,CAF Champions League,Group Stage,Cotonsport,Enyimba,2,3,False,Away Win,Cameroon,Nigeria,Central Africa,West Africa,Yes,358,55,303,849.9,Tropical
2011-07-30,2011,CAF Champions League,Group Stage,Esperance de Tunis,Al Ahly,1,0,False,Home Win,Tunisia,Egypt,North Africa,North Africa,No,10,23,-13,2088.3,Mediterranean
2011-07-30,2011,CAF Champions League,Group Stage,Wydad Casablanca,MC Alger,4,0,False,Home Win,Morocco,Algeria,North Africa,North Africa,No,56,424,-368,1031.7,Mediterranean
2011-08-12,2011,CAF Champions League,Group Stage,Al Ahly,MC Alger,2,0,False,Home Win,Egypt,Algeria,North Africa,North Africa,No,23,424,-401,2706.6,Arid
2011-08-14,2011,CAF Champions League,Group Stage,Al Hilal,Cotonsport,2,1,False,Home Win,Sudan,Cameroon,East Africa,Central Africa,Yes,380,358,22,2096.4,Arid
2011-08-14,2011,CAF Champions League,Group Stage,Enyimba,Raja Casablanca,2,0,False,Home Win,Nigeria,Morocco,West Africa,North Africa,Yes,55,56,-1,3556.3,Tropical
2011-08-15,2011,CAF Champions League,Group Stage,Wydad Casablanca,Esperance de Tunis,2,2,False,Draw,Morocco,Tunisia,North Africa,North Africa,No,56,10,46,1651.8,Mediterranean
2011-08-27,2011,CAF Champions League,Group Stage,Raja Casablanca,Enyimba,0,0,False,Draw,Morocco,Nigeria,North Africa,West Africa,Yes,56,55,1,3556.3,Mediterranean
2011-08-27,2011,CAF Champions League,Group Stage,Esperance de Tunis,Wydad Casablanca,0,0,False,Draw,Tunisia,Morocco,North Africa,North Africa,No,10,56,-46,1651.8,Mediterranean
2011-08-28,2011,CAF Champions League,Group Stage,Cotonsport,Al Hilal,2,0,False,Home Win,Cameroon,Sudan,Central Africa,East Africa,Yes,358,380,-22,2096.4,Tropical
2011-08-28,2011,CAF Champions League,Group Stage,MC Alger,Al Ahly,0,0,False,Draw,Algeria,Egypt,North Africa,North Africa,No,424,23,401,2706.6,Mediterranean
2011-09-09,2011,CAF Champions League,Group Stage,Al Hilal,Enyimba,1,2,False,Away Win,Sudan,Nigeria,East Africa,West Africa,Yes,380,55,325,2931.6,Arid
2011-09-10,2011,CAF Champions League,Group Stage,Cotonsport,Raja Casablanca,2,1,False,Home Win,Cameroon,Morocco,Central Africa,North Africa,Yes,358,56,302,3507.7,Tropical
2011-09-10,2011,CAF Champions League,Group Stage,Esperance de Tunis,MC Alger,4,0,False,Home Win,Tunisia,Algeria,North Africa,North Africa,No,10,424,-414,631.8,Mediterranean
2011-09-11,2011,CAF Champions League,Group Stage,Wydad Casablanca,Al Ahly,1,1,False,Draw,Morocco,Egypt,North Africa,North Africa,No,56,23,33,3669.2,Mediterranean
2011-09-16,2011,CAF Champions League,Group Stage,Al Ahly,Esperance de Tunis,1,1,False,Draw,Egypt,Tunisia,North Africa,North Africa,No,23,10,13,2088.3,Arid
2011-09-16,2011,CAF Champions League,Group Stage,MC Alger,Wydad Casablanca,3,1,False,Home Win,Algeria,Morocco,North Africa,North Africa,No,424,56,368,1031.7,Mediterranean
2011-09-18,2011,CAF Champions League,Group Stage,Enyimba,Cotonsport,2,0,False,Home Win,Nigeria,Cameroon,West Africa,Central Africa,Yes,55,358,-303,849.9,Tropical
2011-09-18,2011,CAF Champions League,Group Stage,Raja Casablanca,Al Hilal,0,0,False,Draw,Morocco,Sudan,North Africa,East Africa,Yes,56,380,-324,4492.9,Mediterranean
2011-10-01,2011,CAF Champions League,Semi-final,Wydad Casablanca,Enyimba,1,0,False,Home Win,Morocco,Nigeria,North Africa,West Africa,Yes,56,55,1,3556.3,Mediterranean
2011-10-02,2011,CAF Champions League,Semi-final,Al Hilal,Esperance de Tunis,0,1,False,Away Win,Sudan,Tunisia,East Africa,North Africa,Yes,380,10,370,3238.7,Arid
2011-10-15,2011,CAF Champions League,Semi-final,Esperance de Tunis,Al Hilal,2,0,False,Home Win,Tunisia,Sudan,North Africa,East Africa,Yes,10,380,-370,3238.7,Mediterranean
2011-10-16,2011,CAF Champions League,Semi-final,Enyimba,Wydad Casablanca,0,0,False,Draw,Nigeria,Morocco,West Africa,North Africa,Yes,55,56,-1,3556.3,Tropical
2011-11-06,2011,CAF Champions League,Final,Wydad Casablanca,Esperance de Tunis,0,0,False,Draw,Morocco,Tunisia,North Africa,North Africa,No,56,10,46,1651.8,Mediterranean
2011-11-12,2011,CAF Champions League,Final,Esperance de Tunis,Wydad Casablanca,1,0,False,Home Win,Tunisia,Morocco,North Africa,North Africa,No,10,56,-46,1651.8,Mediterranean
2012-01-21,2012,African Cup of Nations,Group Stage,Equatorial Guinea,Libya,1,0,False,Home Win,Equatorial Guinea,Libya,Central Africa,North Africa,Yes,30,47,-17,,Tropical
2012-01-23,2012,African Cup of Nations,Group Stage,Gabon,Niger,2,0,False,Home Win,Gabon,Niger,Central Africa,West Africa,Yes,30,223,-193,,Tropical
2012-01-25,2012,African Cup of Nations,Group Stage,Equatorial Guinea,Senegal,2,1,False,Home Win,Equatorial Guinea,Senegal,Central Africa,West Africa,Yes,30,10,20,,Tropical
2012-01-27,2012,African Cup of Nations,Group Stage,Gabon,Morocco,3,2,False,Home Win,Gabon,Morocco,Central Africa,North Africa,Yes,30,495,-465,,Tropical
2012-01-29,2012,African Cup of Nations,Group Stage,Equatorial Guinea,Zambia,0,1,False,Away Win,Equatorial Guinea,Zambia,Central Africa,Southern Africa,Yes,30,1279,-1249,,Tropical
2012-01-31,2012,African Cup of Nations,Group Stage,Gabon,Tunisia,1,0,False,Home Win,Gabon,Tunisia,Central Africa,North Africa,Yes,30,10,20,,Tropical
2012-02-04,2012,African Cup of Nations,Quarter-final,Equatorial Guinea,Ivory Coast,0,3,False,Away Win,Equatorial Guinea,Ivory Coast,Central Africa,West Africa,Yes,30,20,10,,Tropical
2012-02-05,2012,African Cup of Nations,Quarter-final,Gabon,Mali,1,1,False,Draw,Gabon,Mali,Central Africa,West Africa,Yes,30,370,-340,,Tropical
2012-07-07,2012,CAF Champions League,Group Stage,Berekum Chelsea,Zamalek,3,2,False,Home Win,Ghana,Egypt,West Africa,North Africa,Yes,310,23,287,4329.9,Tropical
2012-07-08,2012,CAF Champions League,Group Stage,Sunshine Stars,Esperance de Tunis,0,2,False,Away Win,Nigeria,Tunisia,West Africa,North Africa,Yes,150,10,140,3294.7,Tropical
2012-07-08,2012,CAF Champions League,Group Stage,Al Ahly,TP Mazembe,2,1,False,Home Win,Egypt,DR Congo,North Africa,Central Africa,Yes,23,1250,-1227,4657.0,Arid
2012-07-17,2012,CAF Champions League,Group Stage,ASO Chlef,Sunshine Stars,1,2,False,Away Win,Algeria,Nigeria,North Africa,West Africa,Yes,148,150,-2,3208.9,Semi-Arid
2012-07-20,2012,CAF Champions League,Group Stage,Esperance de Tunis,ASO Chlef,3,2,False,Home Win,Tunisia,Algeria,North Africa,North Africa,No,10,148,-138,794.1,Mediterranean
2012-07-22,2012,CAF Champions League,Group Stage,TP Mazembe,Berekum Chelsea,2,2,False,Draw,DR Congo,Ghana,Central Africa,West Africa,Yes,1250,310,940,3945.9,Tropical
2012-07-22,2012,CAF Champions League,Group Stage,Zamalek,Al Ahly,0,1,False,Away Win,Egypt,Egypt,North Africa,North Africa,No,23,23,0,0.0,Arid
2012-08-04,2012,CAF Champions League,Group Stage,TP Mazembe,Zamalek,2,0,False,Home Win,DR Congo,Egypt,Central Africa,North Africa,Yes,1250,23,1227,4657.0,Tropical
2012-08-04,2012,CAF Champions League,Group Stage,Al Ahly,Berekum Chelsea,4,1,False,Home Win,Egypt,Ghana,North Africa,West Africa,Yes,23,310,-287,4329.9,Arid
2012-08-05,2012,CAF Champions League,Group Stage,Sunshine Stars,ASO Chlef,2,0,False,Home Win,Nigeria,Algeria,West Africa,North Africa,Yes,150,148,2,3208.9,Tropical
2012-08-19,2012,CAF Champions League,Group Stage,Berekum Chelsea,Al Ahly,1,1,False,Draw,Ghana,Egypt,West Africa,North Africa,Yes,310,23,287,4329.9,Tropical
2012-08-19,2012,CAF Champions League,Group Stage,Zamalek,TP Mazembe,1,2,False,Away Win,Egypt,DR Congo,North Africa,Central Africa,Yes,23,1250,-1227,4657.0,Arid
2012-09-01,2012,CAF Champions League,Group Stage,Zamalek,Berekum Chelsea,1,1,False,Draw,Egypt,Ghana,North Africa,West Africa,Yes,23,310,-287,4329.9,Arid
2012-09-02,2012,CAF Champions League,Group Stage,Esperance de Tunis,Sunshine Stars,1,0,False,Home Win,Tunisia,Nigeria,North Africa,West Africa,Yes,10,150,-140,3294.7,Mediterranean
2012-09-02,2012,CAF Champions League,Group Stage,TP Mazembe,Al Ahly,2,0,False,Home Win,DR Congo,Egypt,Central Africa,North Africa,Yes,1250,23,1227,4657.0,Tropical
2012-09-14,2012,CAF Champions League,Group Stage,ASO Chlef,Esperance de Tunis,1,0,False,Home Win,Algeria,Tunisia,North Africa,North Africa,No,148,10,138,794.1,Semi-Arid
2012-09-16,2012,CAF Champions League,Group Stage,Berekum Chelsea,TP Mazembe,1,0,False,Home Win,Ghana,DR Congo,West Africa,Central Africa,Yes,310,1250,-940,3945.9,Tropical
2012-09-16,2012,CAF Champions League,Group Stage,Al Ahly,Zamalek,1,1,False,Draw,Egypt,Egypt,North Africa,North Africa,No,23,23,0,0.0,Arid
2012-10-06,2012,CAF Champions League,Semi-final,Sunshine Stars,Al Ahly,3,3,False,Draw,Nigeria,Egypt,West Africa,North Africa,Yes,150,23,127,3694.4,Tropical
2012-10-07,2012,CAF Champions League,Semi-final,TP Mazembe,Esperance de Tunis,0,0,False,Draw,DR Congo,Tunisia,Central Africa,North Africa,Yes,1250,10,1240,5685.2,Tropical
2012-10-20,2012,CAF Champions League,Semi-final,Esperance de Tunis,TP Mazembe,1,0,False,Home Win,Tunisia,DR Congo,North Africa,Central Africa,Yes,10,1250,-1240,5685.2,Mediterranean
2012-10-21,2012,CAF Champions League,Semi-final,Al Ahly,Sunshine Stars,1,0,False,Home Win,Egypt,Nigeria,North Africa,West Africa,Yes,23,150,-127,3694.4,Arid
2012-11-04,2012,CAF Champions League,Final,Al Ahly,Esperance de Tunis,1,1,False,Draw,Egypt,Tunisia,North Africa,North Africa,No,23,10,13,2088.3,Arid
2012-11-17,2012,CAF Champions League,Final,Esperance de Tunis,Al Ahly,1,2,False,Away Win,Tunisia,Egypt,North Africa,North Africa,No,10,23,-13,2088.3,Mediterranean
2013-01-19,2013,African Cup of Nations,Group Stage,South Africa,Cape Verde,0,0,False,Draw,South Africa,Cape Verde,Southern Africa,West Africa,Yes,1753,40,1713,,Semi-Arid
2013-01-23,2013,African Cup of Nations,Group Stage,South Africa,Angola,2,0,False,Home Win,South Africa,Angola,Southern Africa,Southern Africa,No,1753,60,1693,,Semi-Arid
2013-01-27,2013,African Cup of Nations,Group Stage,South Africa,Morocco,2,2,False,Draw,South Africa,Morocco,Southern Africa,North Africa,Yes,1753,495,1258,,Semi-Arid
2013-02-02,2013,African Cup of Nations,Quarter-final,South Africa,Mali,1,1,False,Draw,South Africa,Mali,Southern Africa,West Africa,Yes,1753,370,1383,,Semi-Arid
2013-07-20,2013,CAF Champions League,Group Stage,Orlando Pirates,AC Leopards,0,0,False,Draw,South Africa,Congo,Southern Africa,Central Africa,Yes,1753,330,1423,2841.9,Semi-Arid
2013-07-21,2013,CAF Champions League,Group Stage,Recreativo Libolo,Esperance de Tunis,1,0,False,Home Win,Angola,Tunisia,Southern Africa,North Africa,Yes,1100,10,1090,5302.9,Tropical
2013-07-24,2013,CAF Champions League,Group Stage,Zamalek,Al Ahly,1,1,False,Draw,Egypt,Egypt,North Africa,North Africa,No,23,23,0,0.0,Arid
2013-08-03,2013,CAF Champions League,Group Stage,Sewe Sport,Recreativo Libolo,3,1,False,Home Win,Ivory Coast,Angola,West Africa,Southern Africa,Yes,20,1100,-1080,2731.8,Tropical
2013-08-03,2013,CAF Champions League,Group Stage,Esperance de Tunis,Cotonsport,2,0,False,Home Win,Tunisia,Cameroon,North Africa,Central Africa,Yes,10,358,-348,3086.8,Mediterranean
2013-08-04,2013,CAF Champions League,Group Stage,AC Leopards,Zamalek,1,0,False,Home Win,Congo,Egypt,Central Africa,North Africa,Yes,330,23,307,4178.3,Tropical
2013-08-04,2013,CAF Champions League,Group Stage,Al Ahly,Orlando Pirates,0,3,False,Away Win,Egypt,South Africa,North Africa,Southern Africa,Yes,23,1753,-1730,6265.9,Arid
2013-08-11,2013,CAF Champions League,Group Stage,Cotonsport,Sewe Sport,1,0,False,Home Win,Cameroon,Ivory Coast,Central Africa,West Africa,Yes,358,20,338,2068.6,Tropical
2013-08-17,2013,CAF Champions League,Group Stage,AC Leopards,Al Ahly,0,1,False,Away Win,Congo,Egypt,Central Africa,North Africa,Yes,330,23,307,4178.3,Tropical
2013-08-17,2013,CAF Champions League,Group Stage,Orlando Pirates,Zamalek,4,1,False,Home Win,South Africa,Egypt,Southern Africa,North Africa,Yes,1753,23,1730,6265.9,Semi-Arid
2013-08-18,2013,CAF Champions League,Group Stage,Cotonsport,Recreativo Libolo,2,1,False,Home Win,Cameroon,Angola,Central Africa,Southern Africa,Yes,358,1100,-742,2223.9,Tropical
2013-08-18,2013,CAF Champions League,Group Stage,Sewe Sport,Esperance de Tunis,0,1,False,Away Win,Ivory Coast,Tunisia,West Africa,North Africa,Yes,20,10,10,3784.8,Tropical
2013-08-31,2013,CAF Champions League,Group Stage,Al Ahly,AC Leopards,2,1,False,Home Win,Egypt,Congo,North Africa,Central Africa,Yes,23,330,-307,4178.3,Arid
2013-08-31,2013,CAF Champions League,Group Stage,Esperance de Tunis,Sewe Sport,1,0,False,Home Win,Tunisia,Ivory Coast,North Africa,West Africa,Yes,10,20,-10,3784.8,Mediterranean
2013-09-01,2013,CAF Champions League,Group Stage,Zamalek,Orlando Pirates,2,1,False,Home Win,Egypt,South Africa,North Africa,Southern Africa,Yes,23,1753,-1730,6265.9,Arid
2013-09-01,2013,CAF Champions League,Group Stage,Recreativo Libolo,Cotonsport,1,1,False,Draw,Angola,Cameroon,Southern Africa,Central Africa,Yes,1100,358,742,2223.9,Tropical
2013-09-14,2013,CAF Champions League,Group Stage,AC Leopards,Orlando Pirates,1,0,False,Home Win,Congo,South Africa,Central Africa,Southern Africa,Yes,330,1753,-1423,2841.9,Tropical
2013-09-14,2013,CAF Champions League,Group Stage,Esperance de Tunis,Recreativo Libolo,3,2,False,Home Win,Tunisia,Angola,North Africa,Southern Africa,Yes,10,1100,-1090,5302.9,Mediterranean
2013-09-15,2013,CAF Champions League,Group Stage,Al Ahly,Zamalek,4,2,False,Home Win,Egypt,Egypt,North Africa,North Africa,No,23,23,0,0.0,Arid
2013-09-15,2013,CAF Champions League,Group Stage,Sewe Sport,Cotonsport,0,0,False,Draw,Ivory Coast,Cameroon,West Africa,Central Africa,Yes,20,358,-338,2068.6,Tropical
2013-09-21,2013,CAF Champions League,Group Stage,Cotonsport,Esperance de Tunis,1,2,False,Away Win,Cameroon,Tunisia,Central Africa,North Africa,Yes,358,10,348,3086.8,Tropical
2013-09-21,2013,CAF Champions League,Group Stage,Recreativo Libolo,Sewe Sport,2,2,False,Draw,Angola,Ivory Coast,Southern Africa,West Africa,Yes,1100,20,1080,2731.8,Tropical
2013-09-22,2013,CAF Champions League,Group Stage,Orlando Pirates,Al Ahly,0,0,False,Draw,South Africa,Egypt,Southern Africa,North Africa,Yes,1753,23,1730,6265.9,Semi-Arid
2013-09-22,2013,CAF Champions League,Group Stage,Zamalek,AC Leopards,4,1,False,Home Win,Egypt,Congo,North Africa,Central Africa,Yes,23,330,-307,4178.3,Arid
2013-10-05,2013,CAF Champions League,Semi-final,Orlando Pirates,Esperance de Tunis,0,0,False,Draw,South Africa,Tunisia,Southern Africa,North Africa,Yes,1753,10,1743,7251.8,Semi-Arid
2013-10-06,2013,CAF Champions League,Semi-final,Cotonsport,Al Ahly,1,1,False,Draw,Cameroon,Egypt,Central Africa,North Africa,Yes,358,23,335,2902.2,Tropical
2013-10-19,2013,CAF Champions League,Semi-final,Esperance de Tunis,Orlando Pirates,1,1,False,Draw,Tunisia,South Africa,North Africa,Southern Africa,Yes,10,1753,-1743,7251.8,Mediterranean
2013-10-20,2013,CAF Champions League,Semi-final,Al Ahly,Cotonsport,1,1,False,Draw,Egypt,Cameroon,North Africa,Central Africa,Yes,23,358,-335,2902.2,Arid
2013-11-02,2013,CAF Champions League,Final,Orlando Pirates,Al Ahly,1,1,False,Draw,South Africa,Egypt,Southern Africa,North Africa,Yes,1753,23,1730,6265.9,Semi-Arid
2013-11-10,2013,CAF Champions League,Final,Al Ahly,Orlando Pirates,2,0,False,Home Win,Egypt,South Africa,North Africa,Southern Africa,Yes,23,1753,-1730,6265.9,Arid
2014-05-16,2014,CAF Champions League,Group Stage,Al Hilal,TP Mazembe,1,0,False,Home Win,Sudan,DR Congo,East Africa,Central Africa,Yes,380,1250,-870,3071.6,Arid
2014-05-17,2014,CAF Champions League,Group Stage,Esperance de Tunis,ES Setif,1,2,False,Away Win,Tunisia,Algeria,North Africa,North Africa,No,10,1096,-1086,431.9,Mediterranean
2014-05-18,2014,CAF Champions League,Group Stage,AS Vita Club,Zamalek,2,1,False,Home Win,DR Congo,Egypt,Central Africa,North Africa,Yes,320,23,297,4183.6,Tropical
2014-05-18,2014,CAF Champions League,Group Stage,CS Sfaxien,Al Ahly Benghazi,3,1,False,Home Win,Tunisia,Libya,North Africa,North Africa,No,15,47,-32,911.1,Mediterranean
2014-05-24,2014,CAF Champions League,Group Stage,Zamalek,Al Hilal,2,1,False,Home Win,Egypt,Sudan,North Africa,East Africa,Yes,23,380,-357,1624.7,Arid
2014-05-24,2014,CAF Champions League,Group Stage,Al Ahly Benghazi,Esperance de Tunis,3,2,False,Home Win,Libya,Tunisia,North Africa,North Africa,No,47,10,37,1044.8,Arid
2014-05-25,2014,CAF Champions League,Group Stage,TP Mazembe,AS Vita Club,1,0,False,Home Win,DR Congo,DR Congo,Central Africa,Central Africa,No,1250,320,930,1566.4,Tropical
2014-05-25,2014,CAF Champions League,Group Stage,ES Setif,CS Sfaxien,1,1,False,Draw,Algeria,Tunisia,North Africa,North Africa,No,1096,15,1081,510.5,Semi-Arid
2014-06-06,2014,CAF Champions League,Group Stage,Al Hilal,AS Vita Club,1,1,False,Draw,Sudan,DR Congo,East Africa,Central Africa,Yes,380,320,60,2909.4,Arid
2014-06-07,2014,CAF Champions League,Group Stage,ES Setif,Al Ahly Benghazi,1,1,False,Draw,Algeria,Libya,North Africa,North Africa,No,1096,47,1049,1420.9,Semi-Arid
2014-06-08,2014,CAF Champions League,Group Stage,TP Mazembe,Zamalek,1,0,False,Home Win,DR Congo,Egypt,Central Africa,North Africa,Yes,1250,23,1227,4657.0,Tropical
2014-06-08,2014,CAF Champions League,Group Stage,Esperance de Tunis,CS Sfaxien,2,1,False,Home Win,Tunisia,Tunisia,North Africa,North Africa,No,10,15,-5,235.6,Mediterranean
2014-07-25,2014,CAF Champions League,Group Stage,Al Ahly Benghazi,ES Setif,0,2,False,Away Win,Libya,Algeria,North Africa,North Africa,No,47,1096,-1049,1420.9,Arid
2014-07-26,2014,CAF Champions League,Group Stage,CS Sfaxien,Esperance de Tunis,1,0,False,Home Win,Tunisia,Tunisia,North Africa,North Africa,No,15,10,5,235.6,Mediterranean
2014-07-27,2014,CAF Champions League,Group Stage,AS Vita Club,Al Hilal,2,1,False,Home Win,DR Congo,Sudan,Central Africa,East Africa,Yes,320,380,-60,2909.4,Tropical
2014-07-27,2014,CAF Champions League,Group Stage,Zamalek,TP Mazembe,0,0,False,Draw,Egypt,DR Congo,North Africa,Central Africa,Yes,23,1250,-1227,4657.0,Arid
2014-08-08,2014,CAF Champions League,Group Stage,Al Ahly Benghazi,CS Sfaxien,0,1,False,Away Win,Libya,Tunisia,North Africa,North Africa,No,47,15,32,911.1,Arid
2014-08-09,2014,CAF Champions League,Group Stage,ES Setif,Esperance de Tunis,2,2,False,Draw,Algeria,Tunisia,North Africa,North Africa,No,1096,10,1086,431.9,Semi-Arid
